Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
JPA Scholarship,PG,29,Chinese,"RM50,470",Medicine and Health Care,7,3.34,N/A,N/A,N/A,2.76,51,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM60,027",Law and Social Sciences,8,N/A,2,N/A,N/A,N/A,69,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Malay,"RM28,786",Sciences,7,N/A,N/A,N/A,3.3,N/A,49,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,23,Malay,"RM36,887",Computer Science and IT,8,N/A,N/A,3.18,N/A,3.52,33,Eligible,Rejected
JPA Scholarship,PG,29,Malay,"RM111,497",Engineering,5,2.89,N/A,N/A,N/A,3.31,70,Not Eligible,Rejected
JPA Scholarship,PG,23,Bumiputera Sabah / Sarawak,"RM160,428",Computer Science and IT,6,2.31,N/A,N/A,N/A,2,46,Not Eligible,Rejected
MARA Scholarship,PG,40,Malay,"RM12,000",Computer Science and IT,10,N/A,N/A,N/A,3.59,3.79,36,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM89,493",Sciences,8,3.04,N/A,N/A,N/A,N/A,33,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM68,686",Computer Science and IT,7,N/A,N/A,N/A,2.88,N/A,52,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Malay,"RM13,837",Sciences,6,N/A,N/A,N/A,3.29,N/A,74,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Malay,"RM140,482",Sciences,8,N/A,N/A,2.86,N/A,2.69,42,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM70,545",Law and Social Sciences,8,N/A,N/A,2.99,N/A,2.92,51,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Malay,"RM33,483",Law and Social Sciences,7,N/A,2,N/A,N/A,N/A,49,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Bumiputera Sabah / Sarawak,"RM51,176",Business and Finance,10,N/A,N/A,N/A,3.19,N/A,37,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM83,731",Engineering,6,N/A,N/A,N/A,2.86,N/A,65,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Malay,"RM31,743",Sciences,6,N/A,N/A,2.54,N/A,2.09,54,Not Eligible,Rejected
JPA Scholarship,PG,29,Malay,"RM105,858",Law and Social Sciences,7,N/A,1,N/A,N/A,2.89,56,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Chinese,"RM45,698",Business and Finance,7,N/A,N/A,N/A,3.2,2.37,39,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM20,855",Engineering,7,N/A,4,N/A,N/A,N/A,37,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM27,358",Engineering,3,N/A,N/A,N/A,1.32,N/A,51,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM68,225",Computer Science and IT,4,N/A,N/A,1.95,N/A,2.63,39,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM12,000",Engineering,5,N/A,N/A,N/A,2.84,N/A,45,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Indian,"RM102,118",Engineering,6,3,N/A,N/A,N/A,N/A,65,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Malay,"RM65,778",Computer Science and IT,4,1.83,N/A,N/A,N/A,2.04,50,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM162,338",Business and Finance,7,N/A,N/A,N/A,2.53,N/A,40,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM12,100",Sciences,2,N/A,N/A,1.9,N/A,N/A,34,Not Eligible,Rejected
Gamuda Scholarship,UG,21,Malay,"RM37,394",Engineering,5,N/A,3,N/A,N/A,N/A,47,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,25,Malay,"RM41,237",Business and Finance,6,N/A,N/A,3.14,N/A,2.64,70,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Malay,"RM58,193",Law and Social Sciences,8,3.16,N/A,N/A,N/A,3.27,49,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM72,404",Computer Science and IT,5,N/A,N/A,N/A,2.53,N/A,66,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM64,462",Sciences,5,N/A,N/A,1.99,N/A,N/A,53,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM16,940",Business and Finance,8,N/A,3,N/A,N/A,N/A,51,Not Eligible,Rejected
MARA Scholarship,UG,27,Malay,"RM16,409",Sciences,8,N/A,N/A,N/A,3.4,N/A,33,Eligible,Rejected
JPA Scholarship,PG,25,Indian,"RM67,595",Medicine and Health Care,8,N/A,N/A,N/A,2.93,3.18,46,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM50,680",Engineering,8,N/A,2,N/A,N/A,2.94,48,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM58,197",Engineering,6,3.28,N/A,N/A,N/A,3.22,82,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,29,Malay,"RM27,397",Business and Finance,8,N/A,N/A,3.25,N/A,3.91,33,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,26,Chinese,"RM29,966",Computer Science and IT,4,N/A,N/A,2.22,N/A,2.23,73,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Chinese,"RM13,712",Engineering,8,3.11,N/A,N/A,N/A,2.73,43,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Malay,"RM44,411",Sciences,7,N/A,2,N/A,N/A,2.84,38,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,39,Bumiputera Sabah / Sarawak,"RM39,985",Law and Social Sciences,7,N/A,4,N/A,N/A,3.32,35,Not Eligible,Rejected
JPA Scholarship,PG,29,Malay,"RM172,440",Medicine and Health Care,8,N/A,N/A,N/A,3.59,3.79,33,Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM12,000",Computer Science and IT,5,2.14,N/A,N/A,N/A,N/A,43,Not Eligible,Rejected
MARA Scholarship,PG,24,Chinese,"RM15,851",Computer Science and IT,6,2.75,N/A,N/A,N/A,2.29,31,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,33,Chinese,"RM129,270",Engineering,8,N/A,3,N/A,N/A,2.91,45,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Malay,"RM81,726",Engineering,9,N/A,4,N/A,N/A,3.43,45,Not Eligible,Rejected
JPA Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM103,901",Law and Social Sciences,6,N/A,2,N/A,N/A,N/A,46,Not Eligible,Rejected
JPA Scholarship,PG,23,Malay,"RM26,325",Sciences,9,N/A,N/A,N/A,3.16,3.44,69,Not Eligible,Rejected
MARA Scholarship,UG,26,Malay,"RM30,066",Sciences,7,3.19,N/A,N/A,N/A,3.43,33,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Malay,"RM246,922",Business and Finance,10,N/A,N/A,N/A,3.67,N/A,45,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM12,000",Business and Finance,8,N/A,N/A,3.12,N/A,N/A,34,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Malay,"RM31,506",Business and Finance,7,N/A,N/A,N/A,3,3.55,34,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM15,536",Business and Finance,6,3,N/A,N/A,N/A,N/A,75,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM12,000",Law and Social Sciences,5,N/A,N/A,N/A,2.51,2.19,47,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Malay,"RM32,084",Business and Finance,10,N/A,4,N/A,N/A,N/A,69,Not Eligible,Rejected
MARA Scholarship,UG,30,Malay,"RM29,387",Medicine and Health Care,4,1.95,N/A,N/A,N/A,N/A,74,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Malay,"RM30,129",Law and Social Sciences,5,N/A,N/A,2.86,N/A,N/A,68,Not Eligible,Rejected
MARA Scholarship,PG,37,Malay,"RM57,763",Business and Finance,2,2.66,N/A,N/A,N/A,2,45,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,19,Malay,"RM47,393",Medicine and Health Care,9,3.65,N/A,N/A,N/A,3.22,40,Not Eligible,Rejected
MARA Scholarship,UG,34,Chinese,"RM83,793",Medicine and Health Care,9,3.26,N/A,N/A,N/A,N/A,46,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,22,Malay,"RM159,604",Computer Science and IT,7,N/A,4,N/A,N/A,N/A,68,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM86,909",Sciences,8,N/A,1,N/A,N/A,N/A,67,Not Eligible,Rejected
MARA Scholarship,PG,33,Malay,"RM105,682",Medicine and Health Care,5,N/A,N/A,N/A,2.37,3,38,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM12,000",Computer Science and IT,8,N/A,3,N/A,N/A,N/A,38,Eligible,Accepted
JPA Scholarship,PG,28,Indian,"RM52,693",Sciences,10,N/A,4,N/A,N/A,2.89,54,Not Eligible,Rejected
MARA Scholarship,UG,40,Malay,"RM37,464",Business and Finance,3,N/A,N/A,N/A,2.46,N/A,38,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM55,305",Business and Finance,3,N/A,N/A,N/A,1.34,1.54,39,Not Eligible,Rejected
JPA Scholarship,UG,20,Indian,"RM16,692",Computer Science and IT,5,N/A,N/A,N/A,2.66,N/A,48,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Chinese,"RM29,088",Engineering,7,N/A,N/A,2.92,N/A,N/A,53,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM93,357",Law and Social Sciences,6,N/A,N/A,N/A,2.54,N/A,44,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,22,Bumiputera Sabah / Sarawak,"RM28,160",Sciences,5,1.68,N/A,N/A,N/A,N/A,89,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM64,425",Computer Science and IT,5,N/A,N/A,2.43,N/A,N/A,74,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Indian,"RM116,187",Business and Finance,6,N/A,3,N/A,N/A,2.64,34,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM98,584",Sciences,4,2.86,N/A,N/A,N/A,N/A,40,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM41,880",Law and Social Sciences,9,3.37,N/A,N/A,N/A,N/A,35,Eligible,Rejected
Gamuda Scholarship,UG,21,Malay,"RM18,528",Engineering,5,N/A,N/A,3.29,N/A,N/A,58,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,42,Malay,"RM93,573",Business and Finance,5,2.39,N/A,N/A,N/A,2.92,40,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM27,136",Sciences,7,2.76,N/A,N/A,N/A,N/A,60,Not Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM53,880",Computer Science and IT,10,N/A,N/A,N/A,3.71,N/A,43,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM12,000",Law and Social Sciences,9,3.39,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM34,466",Law and Social Sciences,8,N/A,N/A,N/A,3.59,N/A,35,Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM43,855",Computer Science and IT,6,3.19,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Chinese,"RM53,055",Engineering,5,N/A,N/A,N/A,1.78,N/A,55,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM53,473",Engineering,9,N/A,N/A,2.88,N/A,N/A,35,Eligible,Rejected
MARA Scholarship,UG,33,Chinese,"RM142,716",Business and Finance,5,N/A,N/A,N/A,2.03,N/A,32,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Malay,"RM12,000",Engineering,4,N/A,N/A,N/A,2.63,2.3,34,Not Eligible,Rejected
JPA Scholarship,PG,25,Chinese,"RM47,994",Medicine and Health Care,10,3.7,N/A,N/A,N/A,3.78,39,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM126,247",Business and Finance,6,1.97,N/A,N/A,N/A,N/A,46,Not Eligible,Rejected
MARA Scholarship,PG,23,Indian,"RM114,487",Computer Science and IT,6,N/A,N/A,2.65,N/A,3.01,36,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Chinese,"RM34,387",Business and Finance,5,N/A,N/A,N/A,3.01,N/A,36,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,39,Chinese,"RM84,442",Computer Science and IT,6,N/A,N/A,2.24,N/A,2.6,64,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Chinese,"RM157,787",Engineering,7,N/A,N/A,2.78,N/A,3.18,47,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM44,468",Engineering,8,N/A,4,N/A,N/A,N/A,39,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM148,142",Engineering,6,2.77,N/A,N/A,N/A,N/A,48,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM97,109",Law and Social Sciences,7,N/A,N/A,N/A,3.09,N/A,49,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,33,Malay,"RM79,934",Medicine and Health Care,6,N/A,N/A,2.43,N/A,2.6,35,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM12,000",Law and Social Sciences,10,N/A,N/A,N/A,4,N/A,35,Eligible,Rejected
MARA Scholarship,PG,33,Indian,"RM52,746",Law and Social Sciences,5,N/A,1,N/A,N/A,2.54,40,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM13,245",Sciences,6,N/A,1,N/A,N/A,N/A,46,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM106,582",Computer Science and IT,3,N/A,1,N/A,N/A,N/A,46,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM74,437",Medicine and Health Care,5,N/A,N/A,2.13,N/A,N/A,64,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM30,383",Sciences,8,N/A,4,N/A,N/A,N/A,49,Not Eligible,Rejected
MARA Scholarship,PG,23,Chinese,"RM57,721",Business and Finance,1,N/A,0,N/A,N/A,2.05,57,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Chinese,"RM40,376",Engineering,6,2.81,N/A,N/A,N/A,N/A,49,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,29,Chinese,"RM48,709",Engineering,10,N/A,N/A,3.93,N/A,3.62,35,Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM12,000",Business and Finance,9,N/A,N/A,N/A,3.51,N/A,48,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Malay,"RM73,087",Computer Science and IT,6,N/A,N/A,N/A,2.91,2.57,64,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,23,Chinese,"RM47,102",Law and Social Sciences,5,N/A,N/A,N/A,2.24,2,39,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Malay,"RM12,000",Sciences,4,2.15,N/A,N/A,N/A,N/A,47,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Indian,"RM47,388",Law and Social Sciences,10,N/A,2,N/A,N/A,N/A,46,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM21,727",Business and Finance,7,2.82,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
JPA Scholarship,PG,24,Malay,"RM87,449",Business and Finance,10,3.3,N/A,N/A,N/A,4,36,Eligible,Rejected
MARA Scholarship,PG,38,Chinese,"RM12,000",Engineering,3,0.99,N/A,N/A,N/A,2,71,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM98,453",Business and Finance,7,N/A,N/A,2.97,N/A,N/A,30,Not Eligible,Rejected
MARA Scholarship,PG,34,Malay,"RM17,269",Medicine and Health Care,5,N/A,N/A,2.37,N/A,2.51,46,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM30,819",Computer Science and IT,7,N/A,N/A,N/A,2.83,N/A,40,Not Eligible,Rejected
JPA Scholarship,PG,27,Malay,"RM62,309",Business and Finance,9,N/A,N/A,N/A,3.57,4,39,Eligible,Accepted
Gamuda Scholarship,UG,20,Malay,"RM14,240",Computer Science and IT,10,N/A,3,N/A,N/A,N/A,41,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM65,138",Computer Science and IT,7,N/A,N/A,2.18,N/A,2.26,67,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Malay,"RM42,065",Law and Social Sciences,4,N/A,N/A,N/A,2.6,2.88,66,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM106,385",Medicine and Health Care,2,1.51,N/A,N/A,N/A,N/A,38,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM129,352",Engineering,7,3.02,N/A,N/A,N/A,N/A,66,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM91,344",Law and Social Sciences,6,N/A,N/A,2.94,N/A,N/A,61,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Malay,"RM16,997",Engineering,1,1.04,N/A,N/A,N/A,2,61,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM24,669",Business and Finance,7,N/A,3,N/A,N/A,N/A,51,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM24,217",Sciences,5,N/A,N/A,N/A,2.36,N/A,34,Not Eligible,Rejected
MARA Scholarship,PG,30,Malay,"RM22,476",Engineering,10,N/A,N/A,3.76,N/A,4,39,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM41,881",Computer Science and IT,7,N/A,N/A,N/A,3.61,N/A,68,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM12,000",Law and Social Sciences,9,N/A,3,N/A,N/A,N/A,40,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,21,Chinese,"RM57,338",Business and Finance,10,N/A,3,N/A,N/A,N/A,36,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,23,Bumiputera Sabah / Sarawak,"RM57,987",Engineering,4,N/A,N/A,2.64,N/A,2.41,39,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM64,279",Engineering,7,N/A,N/A,N/A,2.68,N/A,53,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Other,"RM46,691",Computer Science and IT,6,N/A,1,N/A,N/A,N/A,60,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Malay,"RM52,397",Sciences,8,3.45,N/A,N/A,N/A,3.36,40,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Malay,"RM135,930",Sciences,10,N/A,N/A,N/A,3.32,2.87,74,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM34,223",Law and Social Sciences,4,2.36,N/A,N/A,N/A,N/A,49,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM65,986",Engineering,9,3.31,N/A,N/A,N/A,N/A,39,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM71,490",Business and Finance,8,N/A,4,N/A,N/A,N/A,68,Not Eligible,Rejected
MARA Scholarship,PG,39,Malay,"RM36,096",Medicine and Health Care,8,N/A,N/A,3.81,N/A,3.7,36,Eligible,Rejected
MARA Scholarship,UG,36,Malay,"RM33,914",Sciences,8,N/A,N/A,2.75,N/A,N/A,36,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM26,627",Business and Finance,5,N/A,N/A,2.72,N/A,N/A,36,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,25,Bumiputera Sabah / Sarawak,"RM84,539",Computer Science and IT,8,N/A,N/A,N/A,3.5,3.49,42,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Chinese,"RM40,830",Business and Finance,3,N/A,0,N/A,N/A,2,58,Not Eligible,Rejected
JPA Scholarship,PG,26,Malay,"RM12,000",Business and Finance,6,N/A,N/A,N/A,2.75,2.86,47,Not Eligible,Rejected
MARA Scholarship,PG,30,Chinese,"RM66,407",Medicine and Health Care,7,N/A,N/A,N/A,3.7,3.81,44,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Chinese,"RM25,217",Sciences,6,2.35,N/A,N/A,N/A,N/A,73,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,34,Chinese,"RM43,368",Computer Science and IT,7,N/A,N/A,3.5,N/A,3.78,36,Eligible,Rejected
MARA Scholarship,UG,30,Malay,"RM127,038",Law and Social Sciences,8,N/A,N/A,N/A,3.64,N/A,40,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,23,Indian,"RM27,718",Sciences,5,N/A,N/A,N/A,3.1,2.72,39,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,25,Malay,"RM31,114",Computer Science and IT,3,N/A,N/A,2.25,N/A,2.03,55,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM43,326",Business and Finance,4,N/A,N/A,2.35,N/A,N/A,36,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,28,Malay,"RM53,470",Medicine and Health Care,6,N/A,N/A,3.22,N/A,3.1,39,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Malay,"RM15,865",Computer Science and IT,4,N/A,0,N/A,N/A,N/A,66,Not Eligible,Rejected
MARA Scholarship,PG,32,Chinese,"RM56,245",Engineering,11,N/A,4,N/A,N/A,3.83,76,Not Eligible,Rejected
MARA Scholarship,UG,27,Malay,"RM59,795",Medicine and Health Care,7,N/A,3,N/A,N/A,N/A,40,Eligible,Accepted
JPA Scholarship,UG,18,Chinese,"RM45,457",Business and Finance,8,N/A,1,N/A,N/A,N/A,40,Not Eligible,Rejected
MARA Scholarship,UG,41,Chinese,"RM36,906",Law and Social Sciences,6,2.35,N/A,N/A,N/A,2.14,47,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM74,261",Engineering,6,N/A,0,N/A,N/A,N/A,43,Not Eligible,Rejected
